PMN (111), 9.4.2019, 19:3
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9981e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.81255e+04	4.08464e-03	1.35025e-01	2.99970e+02	2.44739e+03	1.21131e-08	4.07801e+00	8.90261e-02
1.87500e+06	1.84526e+04	1.78967e-03	9.29791e-02	2.99951e+02	1.71570e+03	1.23316e-08	5.30908e+00	1.34559e-01
1.17188e+06	1.86461e+04	7.25525e-04	5.96834e-02	2.99938e+02	1.11286e+03	1.24609e-08	7.01913e+00	1.62548e-01
7.32422e+05	1.88013e+04	2.98914e-04	3.90183e-02	2.99919e+02	7.33593e+02	1.25646e-08	8.30667e+00	3.12173e-01
4.57764e+05	1.88612e+04	1.20529e-04	2.50930e-02	2.99909e+02	4.73283e+02	1.26047e-08	9.38435e+00	4.76732e-01
2.86102e+05	1.89014e+04	4.90132e-05	1.62918e-02	2.99898e+02	3.07938e+02	1.26315e-08	1.03683e+01	6.60382e-01
1.78814e+05	1.89208e+04	2.02187e-05	1.07419e-02	2.99888e+02	2.03247e+02	1.26445e-08	1.14185e+01	8.17684e-01
1.11759e+05	1.89310e+04	8.91725e-06	7.57612e-03	2.99879e+02	1.43423e+02	1.26513e-08	1.29765e+01	9.17115e-01
6.98492e+04	1.89009e+04	3.86189e-06	5.25808e-03	2.99843e+02	9.93825e+01	1.26312e-08	1.55394e+01	9.67916e-01
4.36558e+04	1.89228e+04	1.77391e-06	3.85988e-03	2.99824e+02	7.30398e+01	1.26459e-08	1.82677e+01	9.89088e-01
2.72848e+04	1.89396e+04	8.42629e-07	2.93099e-03	2.99790e+02	5.55118e+01	1.26571e-08	2.09474e+01	9.99298e-01
1.70530e+04	1.89541e+04	4.14066e-07	2.30269e-03	2.99767e+02	4.36455e+01	1.26668e-08	2.35684e+01	1.00318e+00
1.06581e+04	1.89702e+04	2.32199e-07	2.06432e-03	2.99727e+02	3.91607e+01	1.26776e-08	2.68280e+01	1.00494e+00
6.66134e+03	1.89798e+04	1.26377e-07	1.79673e-03	2.99707e+02	3.41017e+01	1.26840e-08	2.93898e+01	1.00564e+00
4.16334e+03	1.89894e+04	7.15532e-08	1.62685e-03	2.99679e+02	3.08929e+01	1.26903e-08	3.19859e+01	1.00522e+00
2.60208e+03	1.89984e+04	4.20064e-08	1.52738e-03	2.99655e+02	2.90179e+01	1.26964e-08	3.45722e+01	1.00461e+00
1.62630e+03	1.90090e+04	2.42940e-08	1.41257e-03	2.99632e+02	2.68514e+01	1.27034e-08	3.72624e+01	1.00496e+00
1.01644e+03	1.90055e+04	1.57976e-08	1.46994e-03	2.99611e+02	2.79370e+01	1.27011e-08	4.02772e+01	1.00191e+00
6.35275e+02	1.90200e+04	8.72629e-09	1.29816e-03	2.99601e+02	2.46910e+01	1.27108e-08	4.28872e+01	1.00214e+00
