T[K]	1/T[1/K]	A1	n1	A2	n2	dEps1	f1	a1	b1	dEps2	f2	a2	b2	dEps3	f3	a3	b3	dEps4	f4	a4	b4	S[S/cm]	Log(S*T)	EpsInf	
5,000E+01	2,000E-02	0.0	0.0	0.0	0.0	9,333E+01	3,018E+04	3,607E-01	1,000E+00	1,596E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1,344E-08	-1,421E+01	0,000E+00
6,000E+01	1,667E-02	0.0	0.0	0.0	0.0	9,373E+01	3,442E+04	3,741E-01	1,000E+00	1,651E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2,009E-08	-1,363E+01	0,000E+00
7,000E+01	1,429E-02	0.0	0.0	0.0	0.0	9,991E+01	1,061E+04	3,169E-01	1,000E+00	1,800E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1,490E-08	-1,377E+01	0,000E+00
8,000E+01	1,250E-02	0.0	0.0	0.0	0.0	9,812E+01	1,754E+04	3,422E-01	1,000E+00	1,843E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2,875E-08	-1,298E+01	0,000E+00
9,000E+01	1,111E-02	0.0	0.0	0.0	0.0	9,285E+01	3,072E+04	3,932E-01	1,000E+00	1,881E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5,186E-08	-1,227E+01	4,009E-01
1,000E+02	1,000E-02	0.0	0.0	0.0	0.0	9,168E+01	2,445E+04	4,005E-01	1,000E+00	1,977E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6,874E-08	-1,189E+01	1,739E+00
1,100E+02	9,091E-03	0.0	0.0	0.0	0.0	8,896E+01	2,384E+04	4,282E-01	1,000E+00	2,063E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9,815E-08	-1,144E+01	3,000E+00
1,200E+02	8,333E-03	0.0	0.0	0.0	0.0	8,855E+01	1,953E+04	4,360E-01	1,000E+00	2,169E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1,334E-07	-1,104E+01	4,224E+00
1,300E+02	7,692E-03	0.0	0.0	0.0	0.0	8,884E+01	1,883E+04	4,624E-01	1,000E+00	2,254E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1,809E-07	-1,066E+01	5,182E+00
1,400E+02	7,143E-03	0.0	0.0	0.0	0.0	8,641E+01	2,307E+04	5,146E-01	1,000E+00	2,331E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2,521E-07	-1,025E+01	6,412E+00
1,500E+02	6,667E-03	0.0	0.0	0.0	0.0	8,741E+01	2,710E+04	5,625E-01	1,000E+00	2,400E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3,420E-07	-9,878E+00	7,119E+00
1,600E+02	6,250E-03	0.0	0.0	0.0	0.0	9,088E+01	2,686E+04	5,845E-01	1,000E+00	2,485E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4,462E-07	-9,547E+00	7,245E+00
1,700E+02	5,882E-03	0.0	0.0	0.0	0.0	9,479E+01	3,276E+04	6,311E-01	1,000E+00	2,531E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5,942E-07	-9,200E+00	7,536E+00
1,800E+02	5,556E-03	0.0	0.0	0.0	0.0	9,996E+01	3,347E+04	6,484E-01	1,000E+00	2,587E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7,534E-07	-8,906E+00	7,428E+00
1,900E+02	5,263E-03	0.0	0.0	0.0	0.0	1,053E+02	3,350E+04	6,631E-01	1,000E+00	2,636E+02	2,433E+05	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9,444E-07	-8,626E+00	7,360E+00
2,000E+02	5,000E-03	0.0	0.0	0.0	0.0	8,418E+01	2,180E+03	5,224E-01	1,000E+00	2,858E+02	2,433E+05	1,000E+00	1,000E+00	3,778E+01	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,117E-06	-8,407E+00	9,312E+00
2,100E+02	4,762E-03	0.0	0.0	0.0	0.0	1,554E+02	2,180E+03	3,646E-01	1,000E+00	3,008E+02	2,083E+05	1,000E+00	1,000E+00	7,953E+00	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,345E-06	-8,172E+00	1,736E+00
2,200E+02	4,545E-03	0.0	0.0	0.0	0.0	1,665E+02	2,180E+03	3,752E-01	1,000E+00	3,094E+02	2,022E+05	1,000E+00	1,000E+00	1,020E+01	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,635E-06	-7,930E+00	1,633E+00
2,300E+02	4,348E-03	0.0	0.0	0.0	0.0	1,840E+02	2,180E+03	3,906E-01	1,000E+00	3,238E+02	1,933E+05	1,000E+00	1,000E+00	9,904E+00	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	2,006E-06	-7,681E+00	1,667E+00
2,400E+02	4,167E-03	0.0	0.0	0.0	0.0	2,111E+02	2,180E+03	4,122E-01	1,000E+00	3,424E+02	1,835E+05	1,000E+00	1,000E+00	6,382E+00	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	2,525E-06	-7,409E+00	1,782E+00
2,500E+02	4,000E-03	0.0	0.0	0.0	0.0	2,361E+02	2,180E+03	4,441E-01	1,000E+00	3,626E+02	1,743E+05	1,000E+00	1,000E+00	1,914E+00	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,134E-06	-7,152E+00	2,927E+00
2,600E+02	3,846E-03	0.0	0.0	0.0	0.0	2,642E+02	2,180E+03	4,664E-01	1,000E+00	3,758E+02	1,686E+05	1,000E+00	1,000E+00	0,000E+00	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,892E-06	-6,896E+00	3,339E+00
2,700E+02	3,704E-03	0.0	0.0	0.0	0.0	2,888E+02	2,180E+03	4,839E-01	1,000E+00	3,837E+02	1,656E+05	1,000E+00	1,000E+00	0,000E+00	3,787E+04	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	4,856E-06	-6,637E+00	3,586E+00
