PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.6000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	3.54635e+02	3.04269e+02
2.80000e+01	3.59785e+02	3.06088e+02
3.92000e+01	3.48519e+02	2.22001e+02
5.48800e+01	3.46965e+02	1.63011e+02
7.68300e+01	3.47487e+02	1.19770e+02
1.07560e+02	3.43025e+02	9.00703e+01
1.50590e+02	3.40235e+02	6.90967e+01
2.10830e+02	3.38134e+02	5.41827e+01
2.95160e+02	3.35185e+02	4.34564e+01
4.13220e+02	3.32481e+02	3.63571e+01
5.78510e+02	3.29978e+02	3.24271e+01
8.09910e+02	3.27073e+02	3.07954e+01
1.13388e+03	3.24007e+02	3.08737e+01
1.58743e+03	3.20723e+02	3.29992e+01
2.22240e+03	3.16760e+02	3.72652e+01
3.11136e+03	3.11939e+02	4.39103e+01
4.35591e+03	3.05652e+02	5.32532e+01
6.09827e+03	2.96937e+02	6.58273e+01
8.53758e+03	2.84445e+02	8.15683e+01
1.19526e+04	2.65804e+02	9.99778e+01
1.67337e+04	2.39092e+02	1.18786e+02
2.34271e+04	2.03343e+02	1.33792e+02
3.27980e+04	1.60840e+02	1.39807e+02
4.59171e+04	1.17809e+02	1.33801e+02
6.42840e+04	8.10641e+01	1.17542e+02
8.99976e+04	5.41772e+01	9.64565e+01
1.25997e+05	3.65653e+01	7.55596e+01
1.76395e+05	2.58640e+01	5.77211e+01
2.46953e+05	1.94710e+01	4.37360e+01
3.00000e+05	1.54873e+01	3.32399e+01
