T_thermocontroller T_self C D R X
31.05 -1 +3.29409E-011 +3.45756E-002 +1.66854E+004 -4.82576E+005
31.05 -1 +3.29382E-011 +3.45898E-002 +1.66936E+004 -4.82616E+005
31.05 -1 +3.29370E-011 +3.46529E-002 +1.67246E+004 -4.82630E+005
31.05 -1 +3.29384E-011 +3.45992E-002 +1.66980E+004 -4.82612E+005
31.05 -1 +3.29363E-011 +3.45233E-002 +1.66625E+004 -4.82645E+005
31.05 -1 +3.29338E-011 +3.45291E-002 +1.66666E+004 -4.82682E+005
31.05 -1 +3.29357E-011 +3.46609E-002 +1.67290E+004 -4.82649E+005
31.05 -1 +3.29364E-011 +3.45923E-002 +1.66957E+004 -4.82641E+005
31.05 -1 +3.29384E-011 +3.45754E-002 +1.66865E+004 -4.82612E+005
31.05 -1 +3.29363E-011 +3.46470E-002 +1.67221E+004 -4.82641E+005
31.05 -1 +3.29344E-011 +3.45966E-002 +1.66987E+004 -4.82670E+005
31.05 -1 +3.29334E-011 +3.45721E-002 +1.66875E+004 -4.82686E+005
31.05 -1 +3.29357E-011 +3.45052E-002 +1.66541E+004 -4.82655E+005
31.05 -1 +3.29332E-011 +3.45772E-002 +1.66900E+004 -4.82689E+005
31.05 -1 +3.29343E-011 +3.45336E-002 +1.66685E+004 -4.82674E+005
31.05 -1 +3.29351E-011 +3.46255E-002 +1.67123E+004 -4.82659E+005
31.05 -1 +3.29347E-011 +3.46424E-002 +1.67207E+004 -4.82665E+005
31.05 -1 +3.29364E-011 +3.46145E-002 +1.67063E+004 -4.82640E+005
31.05 -1 +3.29350E-011 +3.45811E-002 +1.66910E+004 -4.82662E+005
41.08 -1 +3.29366E-011 +3.46069E-002 +1.67026E+004 -4.82638E+005
41.08 -1 +3.29369E-011 +3.46738E-002 +1.67347E+004 -4.82632E+005
41.08 -1 +3.29385E-011 +3.46704E-002 +1.67322E+004 -4.82609E+005
41.08 -1 +3.29363E-011 +3.45404E-002 +1.66708E+004 -4.82645E+005
41.08 -1 +3.29427E-011 +3.47184E-002 +1.67532E+004 -4.82546E+005
41.08 -1 +3.29401E-011 +3.46418E-002 +1.67176E+004 -4.82585E+005
41.08 -1 +3.29416E-011 +3.44869E-002 +1.66423E+004 -4.82568E+005
41.08 -1 +3.29499E-011 +3.46292E-002 +1.67066E+004 -4.82443E+005
41.08 -1 +3.29521E-011 +3.47605E-002 +1.67687E+004 -4.82406E+005
41.08 -1 +3.29481E-011 +3.46749E-002 +1.67295E+004 -4.82467E+005
41.08 -1 +3.29553E-011 +3.45749E-002 +1.66777E+004 -4.82365E+005
41.08 -1 +3.29561E-011 +3.46087E-002 +1.66936E+004 -4.82352E+005
41.08 -1 +3.29593E-011 +3.47643E-002 +1.67669E+004 -4.82300E+005
41.08 -1 +3.29615E-011 +3.46668E-002 +1.67188E+004 -4.82271E+005
