T_thermocontroller T_self C D R X
24.9 -1 +8.19122E-011 +3.28670E-002 +6.37914E+003 -1.94090E+005
24.9 -1 +8.19159E-011 +3.28462E-002 +6.37484E+003 -1.94081E+005
24.9 -1 +8.19127E-011 +3.28664E-002 +6.37900E+003 -1.94089E+005
24.9 -1 +8.19151E-011 +3.28594E-002 +6.37746E+003 -1.94083E+005
24.9 -1 +8.19137E-011 +3.29182E-002 +6.38895E+003 -1.94085E+005
24.9 -1 +8.19200E-011 +3.28934E-002 +6.38366E+003 -1.94071E+005
24.9 -1 +8.19176E-011 +3.28148E-002 +6.36862E+003 -1.94078E+005
24.9 -1 +8.19247E-011 +3.28081E-002 +6.36676E+003 -1.94061E+005
24.9 -1 +8.19320E-011 +3.28979E-002 +6.38359E+003 -1.94043E+005
24.9 -1 +8.19309E-011 +3.28160E-002 +6.36783E+003 -1.94046E+005
24.9 -1 +8.19347E-011 +3.30001E-002 +6.40317E+003 -1.94035E+005
24.9 -1 +8.19404E-011 +3.28487E-002 +6.37340E+003 -1.94023E+005
24.9 -1 +8.19567E-011 +3.29070E-002 +6.38342E+003 -1.93984E+005
24.9 -1 +8.19598E-011 +3.29222E-002 +6.38613E+003 -1.93976E+005
24.9 -1 +8.19609E-011 +3.28668E-002 +6.37532E+003 -1.93975E+005
24.9 -1 +8.19751E-011 +3.29469E-002 +6.38971E+003 -1.93940E+005
24.9 -1 +8.19678E-011 +3.28870E-002 +6.37869E+003 -1.93958E+005
24.9 -1 +8.19928E-011 +3.29203E-002 +6.38320E+003 -1.93898E+005
24.9 -1 +8.19925E-011 +3.30549E-002 +6.40924E+003 -1.93897E+005
24.9 -1 +8.19948E-011 +3.29211E-002 +6.38319E+003 -1.93894E+005
471.13 -1 +8.20293E-011 +3.28625E-002 +6.36918E+003 -1.93813E+005
471.13 -1 +8.20344E-011 +3.31508E-002 +6.42452E+003 -1.93797E+005
471.13 -1 +8.20243E-011 +3.30453E-002 +6.40492E+003 -1.93822E+005
471.13 -1 +8.20471E-011 +3.29865E-002 +6.39177E+003 -1.93769E+005
471.13 -1 +8.20527E-011 +3.29413E-002 +6.38259E+003 -1.93757E+005
471.13 -1 +8.20611E-011 +3.29582E-002 +6.38521E+003 -1.93737E+005
471.13 -1 +8.20772E-011 +3.29503E-002 +6.38243E+003 -1.93698E+005
471.13 -1 +8.20900E-011 +3.30748E-002 +6.40549E+003 -1.93667E+005
471.13 -1 +8.21110E-011 +3.29831E-002 +6.38613E+003 -1.93618E+005
471.13 -1 +8.21150E-011 +3.31611E-002 +6.42022E+003 -1.93607E+005
471.13 -1 +8.21181E-011 +3.30235E-002 +6.39339E+003 -1.93601E+005
471.13 -1 +8.21380E-011 +3.32093E-002 +6.42773E+003 -1.93552E+005
471.13 -1 +8.21342E-011 +3.32055E-002 +6.42729E+003 -1.93561E+005
471.13 -1 +8.21575E-011 +3.29824E-002 +6.38240E+003 -1.93509E+005
471.13 -1 +8.21814E-011 +3.30938E-002 +6.40204E+003 -1.93451E+005
471.13 -1 +8.21727E-011 +3.31210E-002 +6.40795E+003 -1.93471E+005
471.13 -1 +8.21852E-011 +3.30370E-002 +6.39077E+003 -1.93443E+005
471.13 -1 +8.22127E-011 +3.31788E-002 +6.41599E+003 -1.93376E+005
471.13 -1 +8.22088E-011 +3.30236E-002 +6.38636E+003 -1.93387E+005
471.13 -1 +8.22520E-011 +3.30408E-002 +6.38632E+003 -1.93286E+005
26.79 -1 +8.22435E-011 +3.31029E-002 +6.39895E+003 -1.93305E+005
26.79 -1 +8.22629E-011 +3.30899E-002 +6.39494E+003 -1.93259E+005
26.79 -1 +8.22839E-011 +3.31499E-002 +6.40487E+003 -1.93209E+005
26.79 -1 +8.22782E-011 +3.31467E-002 +6.40471E+003 -1.93223E+005
26.79 -1 +8.23085E-011 +3.31313E-002 +6.39936E+003 -1.93152E+005
26.79 -1 +8.23199E-011 +3.32883E-002 +6.42873E+003 -1.93123E+005
26.79 -1 +8.23241E-011 +3.30785E-002 +6.38798E+003 -1.93116E+005
26.79 -1 +8.23437E-011 +3.31284E-002 +6.39607E+003 -1.93069E+005
26.79 -1 +8.23372E-011 +3.30260E-002 +6.37685E+003 -1.93086E+005
26.79 -1 +8.23664E-011 +3.29438E-002 +6.35876E+003 -1.93019E+005
26.79 -1 +8.23827E-011 +3.31906E-002 +6.40503E+003 -1.92977E+005
26.79 -1 +8.23793E-011 +3.32432E-002 +6.41542E+003 -1.92985E+005
26.79 -1 +8.24256E-011 +3.31472E-002 +6.39333E+003 -1.92877E+005
26.79 -1 +8.24131E-011 +3.33323E-002 +6.42995E+003 -1.92904E+005
26.79 -1 +8.24382E-011 +3.30109E-002 +6.36614E+003 -1.92849E+005
26.79 -1 +8.24681E-011 +3.31013E-002 +6.38122E+003 -1.92778E+005
26.79 -1 +8.24537E-011 +3.33206E-002 +6.42453E+003 -1.92809E+005
26.79 -1 +8.24689E-011 +3.31304E-002 +6.38676E+003 -1.92776E+005
26.79 -1 +8.24939E-011 +3.33158E-002 +6.42047E+003 -1.92715E+005
26.79 -1 +8.24968E-011 +3.33688E-002 +6.43043E+003 -1.92708E+005
26.79 -1 +8.25132E-011 +3.32480E-002 +6.40593E+003 -1.92671E+005
28.48 -1 +8.25313E-011 +3.33244E-002 +6.41922E+003 -1.92628E+005
28.48 -1 +8.25519E-011 +3.31951E-002 +6.39277E+003 -1.92582E+005
28.48 -1 +8.25749E-011 +3.32198E-002 +6.39572E+003 -1.92528E+005
28.48 -1 +8.25706E-011 +3.33656E-002 +6.42408E+003 -1.92536E+005
28.48 -1 +8.25855E-011 +3.32221E-002 +6.39535E+003 -1.92503E+005
28.48 -1 +8.26186E-011 +3.32594E-002 +6.39996E+003 -1.92425E+005
28.48 -1 +8.26155E-011 +3.34855E-002 +6.44360E+003 -1.92430E+005
28.48 -1 +8.26482E-011 +3.31944E-002 +6.38519E+003 -1.92357E+005
28.48 -1 +8.26685E-011 +3.35238E-002 +6.44683E+003 -1.92306E+005
28.48 -1 +8.26483E-011 +3.33180E-002 +6.40890E+003 -1.92355E+005
28.48 -1 +8.26849E-011 +3.34115E-002 +6.42400E+003 -1.92269E+005
28.48 -1 +8.26896E-011 +3.34000E-002 +6.42141E+003 -1.92258E+005
28.48 -1 +8.27120E-011 +3.33669E-002 +6.41334E+003 -1.92207E+005
28.48 -1 +8.27375E-011 +3.33245E-002 +6.40324E+003 -1.92148E+005
28.48 -1 +8.27454E-011 +3.34935E-002 +6.43501E+003 -1.92127E+005
28.48 -1 +8.27713E-011 +3.33788E-002 +6.41102E+003 -1.92069E+005
28.48 -1 +8.27894E-011 +3.35200E-002 +6.43669E+003 -1.92025E+005
28.48 -1 +8.27837E-011 +3.34170E-002 +6.41739E+003 -1.92040E+005
28.48 -1 +8.28100E-011 +3.34419E-002 +6.42011E+003 -1.91978E+005
28.48 -1 +8.28229E-011 +3.33868E-002 +6.40857E+003 -1.91949E+005
28.48 -1 +8.28233E-011 +3.35060E-002 +6.43137E+003 -1.91947E+005
30.17 -1 +8.28595E-011 +3.33585E-002 +6.40032E+003 -1.91865E+005
30.17 -1 +8.28559E-011 +3.34590E-002 +6.41983E+003 -1.91872E+005
30.17 -1 +8.28914E-011 +3.33892E-002 +6.40373E+003 -1.91790E+005
30.17 -1 +8.29042E-011 +3.33687E-002 +6.39882E+003 -1.91761E+005
30.17 -1 +8.29160E-011 +3.34105E-002 +6.40591E+003 -1.91733E+005
30.17 -1 +8.29303E-011 +3.33435E-002 +6.39199E+003 -1.91701E+005
30.17 -1 +8.29424E-011 +3.36270E-002 +6.44527E+003 -1.91669E+005
30.17 -1 +8.29548E-011 +3.36016E-002 +6.43945E+003 -1.91641E+005
30.17 -1 +8.29782E-011 +3.33823E-002 +6.39572E+003 -1.91590E+005
30.17 -1 +8.29894E-011 +3.35502E-002 +6.42694E+003 -1.91562E+005
30.17 -1 +8.30042E-011 +3.33844E-002 +6.39411E+003 -1.91530E+005
30.17 -1 +8.30256E-011 +3.36692E-002 +6.44686E+003 -1.91477E+005
30.17 -1 +8.30272E-011 +3.35291E-002 +6.41999E+003 -1.91475E+005
30.17 -1 +8.30714E-011 +3.36737E-002 +6.44417E+003 -1.91371E+005
30.17 -1 +8.30534E-011 +3.36225E-002 +6.43580E+003 -1.91413E+005
30.17 -1 +8.30783E-011 +3.34494E-002 +6.40082E+003 -1.91358E+005
30.17 -1 +8.31014E-011 +3.37415E-002 +6.45479E+003 -1.91301E+005
30.17 -1 +8.31080E-011 +3.34284E-002 +6.39452E+003 -1.91290E+005
30.17 -1 +8.31510E-011 +3.36953E-002 +6.44212E+003 -1.91188E+005
30.17 -1 +8.31281E-011 +3.35903E-002 +6.42386E+003 -1.91242E+005
30.17 -1 +8.31799E-011 +3.35193E-002 +6.40634E+003 -1.91124E+005
32.0 -1 +8.31775E-011 +3.38016E-002 +6.46034E+003 -1.91125E+005
32.0 -1 +8.31917E-011 +3.36913E-002 +6.43820E+003 -1.91094E+005
32.0 -1 +8.32168E-011 +3.35873E-002 +6.41645E+003 -1.91038E+005
32.0 -1 +8.32307E-011 +3.37187E-002 +6.44042E+003 -1.91004E+005
