T_thermocontroller T_self C D R X
29.9 -1 +5.12012E-011 +6.57169E-002 +2.03398E+004 -3.09506E+005
29.9 -1 +5.11959E-011 +6.57023E-002 +2.03373E+004 -3.09538E+005
29.9 -1 +5.11978E-011 +6.56478E-002 +2.03199E+004 -3.09529E+005
29.9 -1 +5.11956E-011 +6.56429E-002 +2.03193E+004 -3.09543E+005
29.9 -1 +5.11970E-011 +6.56603E-002 +2.03240E+004 -3.09533E+005
29.9 -1 +5.11965E-011 +6.56937E-002 +2.03345E+004 -3.09535E+005
29.9 -1 +5.11957E-011 +6.56601E-002 +2.03245E+004 -3.09541E+005
29.9 -1 +5.11951E-011 +6.56658E-002 +2.03265E+004 -3.09544E+005
29.9 -1 +5.11960E-011 +6.57035E-002 +2.03377E+004 -3.09537E+005
29.9 -1 +5.11976E-011 +6.56745E-002 +2.03282E+004 -3.09529E+005
29.9 -1 +5.12023E-011 +6.57503E-002 +2.03496E+004 -3.09498E+005
29.9 -1 +5.12071E-011 +6.58494E-002 +2.03781E+004 -3.09465E+005
29.9 -1 +5.12118E-011 +6.57942E-002 +2.03592E+004 -3.09438E+005
29.9 -1 +5.12131E-011 +6.59321E-002 +2.04010E+004 -3.09425E+005
29.9 -1 +5.12130E-011 +6.57952E-002 +2.03591E+004 -3.09431E+005
29.9 -1 +5.12163E-011 +6.58232E-002 +2.03663E+004 -3.09410E+005
29.9 -1 +5.12168E-011 +6.59078E-002 +2.03921E+004 -3.09404E+005
29.9 -1 +5.12180E-011 +6.59140E-002 +2.03935E+004 -3.09396E+005
29.9 -1 +5.12186E-011 +6.59095E-002 +2.03919E+004 -3.09392E+005
29.9 -1 +5.12193E-011 +6.59693E-002 +2.04099E+004 -3.09386E+005
10.35 -1 +5.12264E-011 +6.59881E-002 +2.04129E+004 -3.09342E+005
10.35 -1 +5.12305E-011 +6.61235E-002 +2.04528E+004 -3.09312E+005
10.35 -1 +5.12374E-011 +6.61502E-002 +2.04582E+004 -3.09269E+005
10.35 -1 +5.12408E-011 +6.61027E-002 +2.04423E+004 -3.09251E+005
10.35 -1 +5.12415E-011 +6.61303E-002 +2.04505E+004 -3.09245E+005
10.35 -1 +5.12396E-011 +6.61399E-002 +2.04542E+004 -3.09256E+005
10.35 -1 +5.12414E-011 +6.61009E-002 +2.04415E+004 -3.09247E+005
10.35 -1 +5.12404E-011 +6.61689E-002 +2.04628E+004 -3.09250E+005
10.35 -1 +5.12382E-011 +6.61485E-002 +2.04574E+004 -3.09265E+005
10.35 -1 +5.12371E-011 +6.61325E-002 +2.04529E+004 -3.09272E+005
10.35 -1 +5.12387E-011 +6.60463E-002 +2.04258E+004 -3.09266E+005
10.35 -1 +5.12335E-011 +6.60557E-002 +2.04308E+004 -3.09297E+005
10.35 -1 +5.12357E-011 +6.61553E-002 +2.04605E+004 -3.09279E+005
10.35 -1 +5.12386E-011 +6.60369E-002 +2.04230E+004 -3.09266E+005
