T_thermocontroller T_self C D R X
0.0 -1 +7.91278E-015 -3.02763E-001 -5.57833E+009 -1.84248E+010
0.0 -1 +1.26596E-014 -2.21631E-001 -2.65587E+009 -1.19833E+010
0.0 -1 +8.26648E-015 -3.42025E-001 -5.89537E+009 -1.72367E+010
0.0 -1 +8.60299E-015 +2.04231E-002 +3.77669E+008 -1.84922E+010
0.0 -1 +1.28333E-014 -1.51190E-001 -1.83311E+009 -1.21246E+010
0.0 -1 +1.22236E-014 -1.61330E-001 -2.04729E+009 -1.26901E+010
0.0 -1 +9.11095E-015 +6.67078E-002 +1.16013E+009 -1.73911E+010
0.0 -1 +9.60362E-015 +4.61980E-002 +7.63981E+008 -1.65371E+010
0.0 -1 +1.15687E-014 -6.37107E-002 -8.72945E+008 -1.37017E+010
0.0 -1 +9.04301E-015 -3.27938E-001 -5.21120E+009 -1.58908E+010
0.0 -1 +1.09613E-014 -2.49879E-001 -3.41493E+009 -1.36663E+010
0.0 -1 +8.30068E-015 -6.29672E-002 -1.20255E+009 -1.90980E+010
