T_thermocontroller T_self C D R X
32.81 -1 +4.52204E-011 +5.41451E-002 +1.90008E+004 -3.50925E+005
32.81 -1 +4.52167E-011 +5.42618E-002 +1.90431E+004 -3.50949E+005
32.81 -1 +4.52161E-011 +5.41965E-002 +1.90206E+004 -3.50957E+005
32.81 -1 +4.52146E-011 +5.42740E-002 +1.90483E+004 -3.50965E+005
32.81 -1 +4.52169E-011 +5.41393E-002 +1.90003E+004 -3.50953E+005
32.81 -1 +4.52158E-011 +5.42455E-002 +1.90378E+004 -3.50957E+005
32.81 -1 +4.52087E-011 +5.42070E-002 +1.90274E+004 -3.51014E+005
32.81 -1 +4.52102E-011 +5.42464E-002 +1.90405E+004 -3.51001E+005
32.81 -1 +4.52117E-011 +5.43015E-002 +1.90591E+004 -3.50986E+005
32.81 -1 +4.52107E-011 +5.41992E-002 +1.90238E+004 -3.50998E+005
32.81 -1 +4.52052E-011 +5.42187E-002 +1.90329E+004 -3.51040E+005
32.81 -1 +4.52087E-011 +5.42349E-002 +1.90371E+004 -3.51013E+005
32.81 -1 +4.52041E-011 +5.42019E-002 +1.90275E+004 -3.51050E+005
32.81 -1 +4.52033E-011 +5.42068E-002 +1.90296E+004 -3.51055E+005
32.81 -1 +4.52026E-011 +5.41467E-002 +1.90089E+004 -3.51063E+005
32.81 -1 +4.52006E-011 +5.41381E-002 +1.90067E+004 -3.51079E+005
32.81 -1 +4.52006E-011 +5.41370E-002 +1.90064E+004 -3.51079E+005
32.81 -1 +4.51984E-011 +5.41990E-002 +1.90289E+004 -3.51094E+005
32.81 -1 +4.51959E-011 +5.41624E-002 +1.90172E+004 -3.51115E+005
32.81 -1 +4.51943E-011 +5.41362E-002 +1.90087E+004 -3.51128E+005
41.08 -1 +4.51965E-011 +5.41808E-002 +1.90234E+004 -3.51110E+005
41.08 -1 +4.51952E-011 +5.41282E-002 +1.90056E+004 -3.51121E+005
41.08 -1 +4.51893E-011 +5.42191E-002 +1.90398E+004 -3.51164E+005
41.08 -1 +4.51877E-011 +5.42193E-002 +1.90406E+004 -3.51176E+005
41.08 -1 +4.51907E-011 +5.41571E-002 +1.90176E+004 -3.51156E+005
41.08 -1 +4.51874E-011 +5.42685E-002 +1.90578E+004 -3.51177E+005
41.08 -1 +4.51828E-011 +5.41399E-002 +1.90149E+004 -3.51218E+005
41.08 -1 +4.51834E-011 +5.42469E-002 +1.90519E+004 -3.51208E+005
41.08 -1 +4.51809E-011 +5.42002E-002 +1.90367E+004 -3.51230E+005
41.08 -1 +4.51855E-011 +5.41497E-002 +1.90172E+004 -3.51196E+005
41.08 -1 +4.51824E-011 +5.41290E-002 +1.90112E+004 -3.51220E+005
41.08 -1 +4.51813E-011 +5.41953E-002 +1.90348E+004 -3.51227E+005
41.08 -1 +4.51788E-011 +5.41787E-002 +1.90301E+004 -3.51247E+005
41.08 -1 +4.51817E-011 +5.41762E-002 +1.90280E+004 -3.51225E+005
41.08 -1 +4.51769E-011 +5.41999E-002 +1.90383E+004 -3.51261E+005
41.08 -1 +4.51795E-011 +5.41379E-002 +1.90156E+004 -3.51243E+005
41.08 -1 +4.51755E-011 +5.40934E-002 +1.90017E+004 -3.51276E+005
41.08 -1 +4.51725E-011 +5.41869E-002 +1.90356E+004 -3.51296E+005
41.08 -1 +4.51733E-011 +5.41563E-002 +1.90246E+004 -3.51291E+005
41.08 -1 +4.51701E-011 +5.41382E-002 +1.90196E+004 -3.51316E+005
41.08 -1 +4.51724E-011 +5.41669E-002 +1.90287E+004 -3.51297E+005
32.27 -1 +4.51711E-011 +5.41996E-002 +1.90406E+004 -3.51306E+005
32.27 -1 +4.51703E-011 +5.41323E-002 +1.90175E+004 -3.51315E+005
32.27 -1 +4.51698E-011 +5.41412E-002 +1.90208E+004 -3.51318E+005
32.27 -1 +4.51727E-011 +5.41357E-002 +1.90177E+004 -3.51296E+005
32.27 -1 +4.51725E-011 +5.42015E-002 +1.90407E+004 -3.51295E+005
32.27 -1 +4.51752E-011 +5.41025E-002 +1.90050E+004 -3.51278E+005
32.27 -1 +4.51743E-011 +5.40924E-002 +1.90018E+004 -3.51285E+005
32.27 -1 +4.51741E-011 +5.40294E-002 +1.89799E+004 -3.51289E+005
32.27 -1 +4.51765E-011 +5.41928E-002 +1.90360E+004 -3.51264E+005
32.27 -1 +4.51741E-011 +5.40401E-002 +1.89837E+004 -3.51288E+005
32.27 -1 +4.51814E-011 +5.41159E-002 +1.90071E+004 -3.51229E+005
32.27 -1 +4.51736E-011 +5.42100E-002 +1.90432E+004 -3.51286E+005
32.27 -1 +4.51818E-011 +5.41124E-002 +1.90057E+004 -3.51226E+005
32.27 -1 +4.51825E-011 +5.41703E-002 +1.90256E+004 -3.51218E+005
32.27 -1 +4.51827E-011 +5.41093E-002 +1.90042E+004 -3.51219E+005
32.27 -1 +4.51904E-011 +5.41440E-002 +1.90131E+004 -3.51158E+005
32.27 -1 +4.51880E-011 +5.42875E-002 +1.90642E+004 -3.51171E+005
32.27 -1 +4.51904E-011 +5.41502E-002 +1.90152E+004 -3.51158E+005
32.27 -1 +4.51908E-011 +5.40427E-002 +1.89776E+004 -3.51159E+005
32.27 -1 +4.51909E-011 +5.42590E-002 +1.90530E+004 -3.51149E+005
32.27 -1 +4.51902E-011 +5.43058E-002 +1.90697E+004 -3.51154E+005
32.33 -1 +4.52065E-011 +5.41812E-002 +1.90193E+004 -3.51032E+005
32.33 -1 +4.51919E-011 +5.42278E-002 +1.90417E+004 -3.51143E+005
